"id","id_estructura","id_cronograma","id_estructura_cronograma","hcitacion","hsalida","hllegada","hfinserv","i_v","id_turno","id_estructura_turno","id_TipoServicio","id_estructura_TipoServicio","activo","id","id_estructura","nombre","km","id_cliente","id_estructura_cliente","vacio","activo","tiempo_viaje","ciudades_id_origen","ciudades_id_estructura_origen","ciudades_id_destino","ciudades_id_estructura_destino","claseServicio_id","claseServicio_id_estructura","id_cliente_vacio","id_estructura_cliente_vacio"
2528,1,689,1,"20:10:00","20:40:00","23:05:00","23:00:00","v",1,1,2,1,1,689,1,"HENRY FORD SAL.",120,10,1,0,1,"01:00:00",3,1,31,1,5,1,,
2557,1,118,1,"17:10:00","17:40:00","18:35:00","18:30:00","v",2,1,2,1,1,118,1,"CNAREF-SAL",34,10,1,0,1,"00:50:00",3,1,1,1,5,1,,
2558,1,86,1,"17:10:00","17:40:00","18:35:00","18:30:00","v",2,1,2,1,1,86,1,"ZTE 1-SAL.",37,10,1,0,1,"01:00:00",3,1,3,1,5,1,,
2559,1,90,1,"17:10:00","17:40:00","18:35:00","18:30:00","v",2,1,2,1,1,90,1,"ZTE 2-SAL.",12,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2560,1,94,1,"17:10:00","17:40:00","18:35:00","18:30:00","v",2,1,2,1,1,94,1,"ZTE 3-SAL.",12,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2561,1,98,1,"17:10:00","17:40:00","18:35:00","18:30:00","v",2,1,2,1,1,98,1,"ZTE 4-SAL.",12,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2562,1,80,1,"17:10:00","17:40:00","18:35:00","18:30:00","v",2,1,2,1,1,80,1,"ZTEREF-SAL",37,10,1,0,1,"00:50:00",3,1,6,1,5,1,,
2567,1,71,1,"17:10:00","17:40:00","18:35:00","18:30:00","v",2,1,2,1,1,71,1,"PILAR-SAL",120,10,1,0,1,"01:00:00",3,1,34,1,5,1,,
2575,1,73,1,"17:10:00","17:40:00","19:00:00","18:55:00","v",2,1,2,1,1,73,1,"BS AS 4 (Adm - Saav)-Salida",85,10,1,0,1,"01:10:00",3,1,27,1,5,1,,
2576,1,689,1,"17:00:00","17:20:00","18:31:00","18:30:00","i",1,1,1,1,1,689,1,"HENRY FORD SAL.",120,10,1,0,1,"01:00:00",3,1,31,1,5,1,,
2668,1,1095,1,"14:15:00","14:45:00","15:15:00","15:10:00","i",1,1,2,1,1,1095,1,"Rec. Sabado Zarate",12,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2676,1,952,1,"01:10:00","01:40:00","02:10:00","02:15:00","v",1,1,2,1,1,952,1,"Adicional Zarate",30,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2733,1,127,1,"22:30:00","23:00:00","00:02:00","00:01:00","v",1,1,2,1,1,127,1,"BAR 1-SAL",70,10,1,0,1,"01:10:00",3,1,17,1,5,1,,
2734,1,131,1,"22:30:00","23:00:00","00:01:00","00:00:00","v",1,1,2,1,1,131,1,"BAR 2-SAL",70,10,1,0,1,"01:10:00",3,1,17,1,5,1,,
2735,1,126,1,"22:30:00","23:00:00","00:01:00","00:00:00","v",1,1,2,1,1,126,1,"BARREF-SAL",140,10,1,0,1,"01:40:00",3,1,17,1,5,1,,
2737,1,87,1,"22:30:00","23:00:00","23:35:00","23:30:00","v",1,1,2,1,1,87,1,"ZTE 2-SAL",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2738,1,91,1,"22:30:00","23:00:00","23:35:00","23:30:00","v",1,1,2,1,1,91,1,"ZTE 3- SAL",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2739,1,95,1,"22:30:00","23:00:00","23:35:00","23:30:00","v",1,1,2,1,1,95,1,"ZTE 4-SAL",22,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2740,1,80,1,"22:30:00","23:00:00","23:35:00","23:30:00","v",1,1,2,1,1,80,1,"ZTEREF-SAL",37,10,1,0,1,"00:50:00",3,1,6,1,5,1,,
2741,1,67,1,"22:30:00","23:00:00","23:45:00","23:40:00","v",1,1,2,1,1,67,1,"ZTELIMA",77,10,1,0,1,"00:50:00",3,1,6,1,5,1,,
2744,1,118,1,"22:30:00","23:00:00","23:35:00","23:30:00","v",1,1,2,1,1,118,1,"CNAREF-SAL",34,10,1,0,1,"00:50:00",3,1,1,1,5,1,,
2746,1,77,1,"22:30:00","23:00:00","00:21:00","00:20:00","v",1,1,2,1,1,77,1,"S.PEDRO-SAL.",180,10,1,0,1,"01:20:00",3,1,23,1,5,1,,
2747,1,72,1,"22:30:00","23:00:00","23:41:00","23:40:00","v",1,1,2,1,1,72,1,"BS AS 6  (H. Ford) -Salida",120,10,1,0,1,"01:00:00",3,1,27,1,5,1,,
2751,1,123,1,"22:30:00","23:00:00","01:01:00","01:00:00","v",1,1,2,1,1,123,1,"BSAS-SAL",91,10,1,0,1,"01:40:00",3,1,27,1,5,1,,
2752,1,689,1,"22:30:00","23:00:00","23:41:00","23:40:00","v",1,1,2,1,1,689,1,"HENRY FORD SAL.",120,10,1,0,1,"01:00:00",3,1,31,1,5,1,,
2755,1,69,1,"22:30:00","23:00:00","00:11:00","00:10:00","v",1,1,2,1,1,69,1,"DEL VISO-SAL",125,10,1,0,1,"01:00:00",3,1,29,1,5,1,,
2756,1,71,1,"22:30:00","23:00:00","00:01:00","00:00:00","v",1,1,2,1,1,71,1,"PILAR-SAL",120,10,1,0,1,"01:00:00",3,1,34,1,5,1,,
2763,1,952,1,"00:10:00","00:40:00","01:30:00","01:35:00","v",1,1,2,1,1,952,1,"Adicional Zarate",30,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
2847,1,67,1,"21:15:00","21:45:00","22:20:00","22:15:00","v",1,1,2,1,1,67,1,"ZTELIMA",77,10,1,0,1,"00:50:00",3,1,6,1,5,1,,
2873,1,1144,1,"17:00:00","17:20:00","18:10:00","18:00:00","v",2,1,1,1,1,1144,1,"CAMPANA 2 (Adm-Ctro.) Entrada",25,10,1,0,1,"00:40:00",1,1,3,1,5,1,,
2877,1,575,1,"17:00:00","17:20:00","18:50:00","18:40:00","v",2,1,1,1,1,575,1,"REF.ADM.S.PEDRO",180,10,1,0,1,"01:10:00",23,1,3,1,5,1,,
2879,1,953,1,"17:00:00","17:20:00","18:35:00","18:30:00","v",2,1,1,1,1,953,1,"Adicional Ruta 202",120,10,1,0,1,"00:50:00",3,1,4,1,5,1,,
3150,1,69,1,"23:30:00","23:59:00","02:15:00","00:40:00","v",3,1,2,1,1,69,1,"DEL VISO-SAL",125,10,1,0,1,"01:00:00",3,1,29,1,5,1,,
3153,1,953,1,"05:45:00","06:00:00","06:41:00","06:40:00","v",1,1,2,1,1,953,1,"Adicional Ruta 202",120,10,1,0,1,"00:50:00",3,1,4,1,5,1,,
3181,1,80,1,"17:10:00","17:20:00","18:00:00","17:50:00","v",2,1,1,1,1,80,1,"ZTEREF-SAL",37,10,1,0,1,"00:50:00",3,1,6,1,5,1,,
3240,1,71,1,"21:15:00","21:45:00","22:45:00","22:40:00","v",3,1,2,1,1,71,1,"PILAR-SAL",120,10,1,0,1,"01:00:00",3,1,34,1,5,1,,
3278,1,67,1,"21:30:00","22:00:00","22:45:00","22:01:00","v",1,1,2,1,1,67,1,"ZTELIMA",77,10,1,0,1,"00:50:00",3,1,6,1,5,1,,
3281,1,1015,1,"16:30:00","17:20:00","18:20:00","18:00:00","v",3,1,1,1,1,1015,1,"Back Up Libre en Toyota",15,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
3395,1,1199,1,"23:20:00","23:59:00","01:35:00","01:30:00","v",3,1,2,1,1,1199,1,"ZARATE (Ref. Z3 S. L)-Entrada",18,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
3481,1,67,1,"23:20:00","23:59:00","02:20:00","01:45:00","v",3,1,2,1,1,67,1,"ZTELIMA",77,10,1,0,1,"00:50:00",3,1,6,1,5,1,,
3498,1,74,1,"23:58:00","23:59:00","03:30:00","02:20:00","v",1,1,2,1,1,74,1,"S.PEDRO 1-SAL",90,10,1,0,1,"01:20:00",3,1,23,1,5,1,,
3540,1,689,1,"23:29:00","23:59:00","03:00:00","02:30:00","v",1,1,2,1,1,689,1,"HENRY FORD SAL.",120,10,1,0,1,"01:00:00",3,1,31,1,5,1,,
3714,1,1426,1,"13:30:00","14:00:00","15:20:00","15:10:00","v",2,1,2,1,1,1426,1,"BAR 1 ENTRADA",75,10,1,0,1,"01:10:00",17,1,3,1,5,1,,
3793,1,1195,1,"13:50:00","14:20:00","14:55:00","14:50:00","v",2,1,1,1,1,1195,1,"ZARATE 2-(Adm Galesio)-Salida",20,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
3803,1,73,1,"13:50:00","14:20:00","18:00:00","15:50:00","v",2,1,1,1,1,73,1,"BS AS 4 (Adm - Saav)-Salida",85,10,1,0,1,"01:10:00",3,1,27,1,5,1,,
3893,1,127,1,"23:58:00","23:59:00","03:10:00","02:10:00","v",1,1,2,1,1,127,1,"BAR 1-SAL",70,10,1,0,1,"01:10:00",3,1,17,1,5,1,,
3933,1,1098,1,"14:50:00","15:20:00","19:00:00","17:20:00","v",2,1,2,1,1,1098,1,"Rec. Sabado Bs. As.",182,10,1,0,1,"01:30:00",27,1,3,1,5,1,,
3934,1,1090,1,"14:50:00","15:20:00","16:10:00","16:00:00","v",2,1,2,1,1,1090,1,"Rec. Sabado Lima",77,10,1,0,1,"00:40:00",6,1,3,1,5,1,,
3935,1,1094,1,"14:50:00","15:20:00","18:00:00","17:00:00","v",2,1,2,1,1,1094,1,"Rec. Sabado Lujan",192,10,1,0,1,"01:00:00",30,1,3,1,5,1,,
3936,1,1089,1,"14:50:00","15:20:00","18:00:00","17:00:00","v",2,1,2,1,1,1089,1,"Rec. Sabado San Pedro",90,10,1,0,1,"01:00:00",23,1,3,1,5,1,,
3937,1,1095,1,"14:50:00","15:20:00","16:00:00","15:50:00","v",2,1,2,1,1,1095,1,"Rec. Sabado Zarate",12,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
3938,1,1088,1,"14:50:00","15:20:00","17:00:00","16:10:00","v",2,1,2,1,1,1088,1,"Rec. Sabados Baradero",70,10,1,0,1,"01:00:00",17,1,3,1,5,1,,
3939,1,1087,1,"14:50:00","15:20:00","15:55:00","15:50:00","v",2,1,2,1,1,1087,1,"Rec. Sabados Campana",24,10,1,0,1,"01:00:00",1,1,3,1,5,1,,
3940,1,1091,1,"14:50:00","15:20:00","16:40:00","16:10:00","v",2,1,2,1,1,1091,1,"Rec. Sabados Escobar",125,10,1,0,1,"01:00:00",4,1,3,1,5,1,,
4117,1,1564,1,"17:10:00","17:20:00","18:40:00","18:30:00","v",2,1,1,1,1,1564,1,"SAN PEDRO - ADM - SALIDA",93,10,1,0,1,"01:10:00",23,1,3,1,5,1,,
4412,1,1098,1,"00:10:00","00:40:00","03:00:00","02:59:00","i",1,1,2,1,1,1098,1,"Rec. Sabado Bs. As.",182,10,1,0,1,"01:30:00",27,1,3,1,5,1,,
4429,1,1647,1,"16:00:00","16:30:00","18:30:00","18:00:00","v",2,1,1,1,1,1647,1,"Planta - Lujan",70,10,1,0,1,"01:30:00",3,1,30,1,7,1,,
4792,1,1428,1,"23:50:00","23:59:00","02:10:00","02:00:00","v",1,1,2,1,1,1428,1,"BARADERO - 1 Salida",80,10,1,0,1,"01:10:00",3,1,17,1,5,1,,
4834,1,1198,1,"16:59:00","17:20:00","18:00:00","17:59:00","i",2,1,2,1,1,1198,1,"Ref. Z1 - Parque Industrial",18,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
5044,1,1812,1,"14:35:00","14:45:00","15:20:00","15:10:00","i",1,1,2,1,1,1812,1,"NUEVORec. Sabado Lima",77,10,1,0,1,"00:40:00",6,1,3,1,5,1,,
5115,1,1179,1,"14:40:00","15:20:00","16:10:00","16:00:00","v",2,1,2,1,1,1179,1,"ZARATE 1-(P. Ind.)-Salida",20,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
5351,1,1874,1,"16:40:00","17:20:00","19:00:00","18:20:00","v",3,1,1,1,1,1874,1,"Ref. ADM San Miguel",80,10,1,0,1,"01:40:00",20,1,3,1,5,1,,
5875,1,1179,1,"19:00:00","20:10:00","21:10:00","21:00:00","v",1,1,2,1,1,1179,1,"ZARATE 1-(P. Ind.)-Salida",20,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
5892,1,1428,1,"19:00:00","20:10:00","22:00:00","21:10:00","v",1,1,2,1,1,1428,1,"BARADERO - 1 Salida",80,10,1,0,1,"01:10:00",3,1,17,1,5,1,,
5937,1,1582,1,"16:50:00","17:20:00","19:00:00","18:10:00","v",1,1,2,1,1,1582,1,"BS AS 3 - HENRY FORD - Salida",55,10,1,0,1,"01:00:00",3,1,27,1,5,1,,
5966,1,1795,1,"15:55:00","16:25:00","17:20:00","17:10:00","i",1,1,2,1,1,1795,1,"Nuevo Rec. Sab. Campana 2009",24,10,1,0,1,"01:00:00",1,1,3,1,5,1,,
5967,1,1792,1,"13:40:00","15:40:00","17:20:00","17:10:00","i",1,1,2,1,1,1792,1,"Nuevo Rec. Sab. S. Pedro 2009",90,10,1,0,1,"01:00:00",23,1,3,1,5,1,,
5968,1,1791,1,"13:10:00","15:10:00","17:20:00","17:10:00","i",1,1,2,1,1,1791,1,"Nuevo Rec. Sabado Bs. As. 2009",182,10,1,0,1,"01:30:00",27,1,3,1,5,1,,
5969,1,1793,1,"16:00:00","16:30:00","17:20:00","17:10:00","i",1,1,2,1,1,1793,1,"Nuevo Rec. Sabado Zarate 2009",12,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
5970,1,1813,1,"14:00:00","15:25:00","17:20:00","17:10:00","i",1,1,2,1,1,1813,1,"NUEVORec. Sabado Lujan",192,10,1,0,1,"01:00:00",30,1,3,1,5,1,,
6331,1,2296,1,"03:50:00","04:52:00","05:45:00","05:40:00","v",1,1,2,1,1,2296,1,"Refuerzo Rec Sabados BS AS",50,10,1,0,1,"00:50:00",31,1,3,1,5,1,,
6407,1,1813,1,"00:10:00","00:40:00","02:01:00","02:00:00","v",1,1,2,1,1,1813,1,"NUEVORec. Sabado Lujan",192,10,1,0,1,"01:00:00",30,1,3,1,5,1,,
6905,1,2430,1,"02:30:00","02:50:00","03:50:00","03:40:00","v",1,1,2,1,1,2430,1,"Planta - Zte (Puerta a Puerta)",10,10,1,0,1,"01:00:00",3,1,3,1,5,1,,
6907,1,2430,1,"01:30:00","01:50:00","02:50:00","02:40:00","v",1,1,2,1,1,2430,1,"Planta - Zte (Puerta a Puerta)",10,10,1,0,1,"01:00:00",3,1,3,1,5,1,,
7225,1,1793,1,"15:50:00","16:00:00","17:05:00","17:00:00","v",2,1,2,1,1,1793,1,"Nuevo Rec. Sabado Zarate 2009",12,10,1,0,1,"00:30:00",3,1,3,1,5,1,,
7289,1,1795,1,"12:35:00","13:05:00","14:05:00","13:55:00","i",1,1,2,1,1,1795,1,"Nuevo Rec. Sab. Campana 2009",24,10,1,0,1,"01:00:00",1,1,3,1,5,1,,
8207,1,1428,1,"19:00:00","20:00:00","22:00:00","21:10:00","v",1,1,2,1,1,1428,1,"BARADERO - 1 Salida",80,10,1,0,1,"01:10:00",3,1,17,1,5,1,,
8757,1,3268,1,"05:40:00","06:10:00","08:00:00","07:40:00","i",3,1,1,1,1,3268,1,"San Pedro - (Adm) - Entrada",93,10,1,0,1,"01:10:00",23,1,3,1,5,1,,
8758,1,3269,1,"16:30:00","17:20:00","18:45:00","18:30:00","v",3,1,1,1,1,3269,1,"San Pedro - (Adm) - Salida",93,10,1,0,1,"01:20:00",3,1,23,1,5,1,,
8759,1,3270,1,"05:30:00","06:00:00","07:40:00","08:00:00","i",3,1,1,1,1,3270,1,"LUJAN - (Adm) - Entrada",190,10,1,0,1,"01:35:00",30,1,3,1,5,1,,
