ZARATE 3-(S. Lorenzo)-Salida;9591;01:10:00;01:40:00;Produccion;Tarde;v
LUJAN 2 - Salida;9578;01:10:00;01:40:00;Produccion;Tarde;v
BARADERO - 3 Salida;9565;01:10:00;01:40:00;Produccion;Tarde;v
Ref. Lujan 2 - Salida;9584;01:10:00;01:40:00;Produccion;Tarde;v
CAMPANA 2 (Ref.) - Salida;9571;01:10:00;01:40:00;Produccion;Tarde;v
Over Time Ruta 197 Sur;7478;00:30:00;01:45:00;Produccion;Tarde;v
Over Time Ruta 197 Norte;7477;00:30:00;01:45:00;Produccion;Tarde;v
Over Time 202 ;8437;00:30:00;01:45:00;Produccion;Tarde;v
Over Time Henry Ford;7476;00:30:00;01:45:00;Produccion;Tarde;v
Over Time Garin Norte;7475;00:30:00;01:45:00;Produccion;Tarde;v
Over Time Benavidez;7517;00:30:00;01:45:00;Produccion;Tarde;v
Over Time Marquez;8820;00:30:00;01:45:00;Produccion;Tarde;v
Planta - Zte (Puerta a Puerta);6907;01:30:00;01:50:00;Produccion;Tarde;v
Adicional Pilar;9359;02:10:00;02:40:00;Produccion;Tarde;v
Adicional Luján;7813;02:10:00;02:40:00;Produccion;Tarde;v
Adicional Campana;2983;02:20:00;02:40:00;Produccion;Tarde;v
ADICIONAL BUENOS AIRES;11468;02:10:00;02:40:00;Produccion;Tarde;v
ADICIONAL JOSE C PAZ;11467;02:10:00;02:40:00;Produccion;Tarde;v
Adicional Zarate;2677;02:10:00;02:40:00;Produccion;Tarde;v
ADICIONAL DEL VISO;11466;02:10:00;02:40:00;Produccion;Tarde;v
Over Time Benavidez;9872;01:30:00;02:45:00;Produccion;Tarde;v
Over Time Henry Ford;9877;01:30:00;02:45:00;Produccion;Tarde;v
Over Time Garin Norte;9876;01:30:00;02:45:00;Produccion;Tarde;v
Over Time Marquez;9875;01:30:00;02:45:00;Produccion;Tarde;v
Over Time 202 ;9502;01:30:00;02:45:00;Produccion;Tarde;v
Over Time Ruta 197 Sur;9874;01:30:00;02:45:00;Produccion;Tarde;v
Adic. Adm. S. A. de Giles -Sal;11067;02:30:00;02:45:00;Produccion;Tarde;v
Over Time Ruta 197 Norte;9873;01:30:00;02:45:00;Produccion;Tarde;v
Planta - Zte (Puerta a Puerta);6905;02:30:00;02:50:00;Produccion;Tarde;v
Adicional Baradero;8325;02:20:00;02:50:00;Produccion;Tarde;v
Adicional Escobar;8589;02:20:00;02:50:00;Produccion;Tarde;v
LUJAN 2 - Entrada;9500;01:00:00;02:55:00;Produccion;Mañana;i
Adic. Adm. Zarate I -Salida;11042;02:25:00;02:55:00;Produccion;Mañana;i
Alberti Ref. Del Viso - Ent;11070;02:40:00;02:55:00;Produccion;Mañana;i
Adic. Adm. Zarate 2 - Entrada;11045;02:25:00;02:55:00;Produccion;Mañana;i
BS AS 1 - C. Y S. FE - Entrada;9488;01:10:00;02:55:00;Produccion;Mañana;i
Ref. Lujan 2 - Entrada;9507;01:20:00;02:55:00;Produccion;Mañana;i
Adic. Adm. Zarate 2 -Salida;11048;02:30:00;03:00:00;Produccion;Mañana;i
Gualeguaychu - Entrada;11248;02:30:00;03:00:00;Produccion;Mañana;i
Adic. Adm. Campana I - Entrada;11051;03:00:00;03:00:00;Produccion;Mañana;i
SAN PEDRO -1 Entrada;6260;01:10:00;03:10:00;Produccion;Mañana;i
Adic. Adm. Campana 2 - Entrada;11054;03:10:00;03:10:00;Produccion;Mañana;i
SAN PEDRO 2 - Entrada;6261;01:10:00;03:10:00;Produccion;Mañana;i
MORENO - Entrada;9501;01:30:00;03:15:00;Produccion;Mañana;i
PILAR - Entrada;9503;02:00:00;03:20:00;Produccion;Mañana;i
Ref. Pilar - Entrada;9508;01:50:00;03:20:00;Produccion;Mañana;i
LUJAN 1 - Entrada;9499;02:00:00;03:25:00;Produccion;Mañana;i
BARADERO - 3 Entrada;6259;01:50:00;03:25:00;Produccion;Mañana;i
Alberti - Ref. Del Viso - Ent.;9505;01:55:00;03:25:00;Produccion;Mañana;i
BARADERO - 2 Entrada;6258;01:50:00;03:25:00;Produccion;Mañana;i
BARADERO - 1 Entrada;6257;01:50:00;03:25:00;Produccion;Mañana;i
DEL VISO - Entrada;9495;02:00:00;03:25:00;Produccion;Mañana;i
Ref. Escobar 1 - Entrada;9506;02:30:00;03:30:00;Produccion;Mañana;i
ESCOBAR 1 -Entrada;9496;02:30:00;03:30:00;Produccion;Mañana;i
CAMPANA 1 - Entrada;9492;03:05:00;03:35:00;Produccion;Mañana;i
ESCOBAR 2 (Matheu) - Entrada;9497;02:30:00;03:35:00;Produccion;Mañana;i
Ref. 202 Entrada;9504;02:00:00;03:40:00;Produccion;Mañana;i
Adicional Zarate;10779;03:10:00;03:40:00;Produccion;Tarde;v
